ID,IQ1,IQ2,IQ3
1,5,3,4
2,5,3,5
3,4,3,4
4,5,4,4
5,4,4,4
6,4,4,5
7,5,4,5
8,4,3,4
9,5,4,4
10,5,2,3
11,4,3,4
