ID2,Group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
G201,1,1,2,4,3,1,4,4,6
G403,1,3,3,3,5,2,3,4,6
G202,1,7,7,7,6,2,6,6,6
G204,1,3,3,4,5,5,4,6,6
G401,1,2,2,2,4,2,1,4,2
G203,1,5,5,5,4,4,2,4,4
G404,1,2,3,6,6,3,5,4,3
G402,1,5,2,3,5,3,2,4,6
G303,2,3,3,3,6,3,2,4,5
G103,2,2,2,5,7,1,5,5,6
G301,2,2,1,1,1,1,1,6,3
G104,2,2,3,3,4,1,1,6,3
G304,2,1,1,2,6,1,1,2,6
G102,2,2,1,2,4,2,2,4,2
G101,2,3,2,5,6,2,5,4,6
G302,2,1,1,1,1,1,1,1,1
