ID2,Group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
G402,1,5,6,5,6,4,4,5,6
G404,1,6,6,6,6,5,7,5,7
G403,1,6,5,6,4,5,4,3,5
G203,1,4,4,4,5,3,2,4,4
G401,1,2,6,6,6,6,3,4,5
G201,1,3,2,6,4,2,4,4,7
G202,1,2,1,2,2,3,1,2,3
G204,1,4,6,4,3,4,3,4,4
G102,2,6,4,6,7,3,2,2,6
G104,2,1,4,4,3,2,2,4,4
G302,2,5,6,4,6,4,2,4,6
G301,2,7,7,7,5,5,7,6,6
G304,2,3,3,3,3,1,4,3,5
G103,2,5,6,6,6,5,7,6,7
G303,2,5,5,6,6,3,6,5,3
G101,2,3,2,5,4,2,4,5,6
